mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
13,2,2,1,1,3,2,1,1,1,1,0,0,0,1,Take sibur
7,1,0,0,2,3,3,1,1,1,0,0,0,1,1,Take linemate
4,3,2,3,2,2,0,1,1,0,1,1,1,0,1,Take food
12,0,1,2,0,1,3,1,0,0,0,1,1,0,1,Take mendiane
8,0,1,2,2,2,1,1,0,0,1,1,1,0,1,Take food
7,0,2,2,2,2,0,1,1,1,0,0,1,1,1,Take linemate
6,2,2,0,3,2,0,1,0,1,1,0,0,0,1,Take sibur
1,2,0,0,2,0,1,1,0,1,0,1,0,0,1,Take food
14,3,3,0,3,2,1,1,1,0,1,1,0,1,1,Take sibur
8,1,1,0,0,1,1,1,1,1,0,1,0,0,1,Take linemate
11,0,0,3,3,2,2,1,1,0,0,0,0,1,1,Take linemate
7,2,3,3,0,3,1,1,0,1,1,0,0,0,1,Take food
13,0,0,1,3,1,3,1,1,1,0,0,1,1,1,Take linemate
5,1,2,1,0,2,3,1,1,0,1,1,1,1,1,Take food
2,0,3,0,3,2,0,1,0,1,1,1,0,0,1,Take food
13,1,2,2,1,0,2,1,0,1,0,1,0,0,1,Take mendiane
5,1,3,0,0,1,1,1,0,1,0,0,0,1,1,Take food
2,3,0,2,0,0,0,1,0,1,0,1,0,1,1,Take food
14,1,2,2,0,2,1,1,0,1,0,0,1,1,1,Take food
7,2,3,3,3,2,0,1,1,1,0,1,1,0,1,Take food
2,1,3,0,0,0,0,1,0,0,0,0,1,1,1,Take food
6,1,0,2,1,3,2,1,1,1,0,0,1,0,1,Take linemate
13,0,0,0,1,1,3,1,1,0,1,1,1,0,1,Take linemate
13,0,1,2,3,0,3,1,0,0,1,0,1,1,1,Take phiras
6,2,0,0,3,3,0,1,1,0,1,1,1,1,1,Take sibur
2,1,2,2,0,2,3,1,1,1,0,1,1,1,1,Take food
5,0,2,3,0,3,2,1,1,1,1,0,1,0,1,Take food
6,0,3,2,3,0,1,1,1,0,0,0,0,0,1,Take linemate
11,2,1,2,1,3,3,1,1,0,1,1,1,0,1,Take mendiane
10,3,0,1,2,3,0,1,1,1,1,1,0,0,1,Take deraumere
9,0,0,2,2,0,0,1,1,1,0,0,0,0,1,Take linemate
1,0,0,3,0,2,2,1,1,1,1,0,0,1,1,Take food
15,1,1,3,1,1,2,1,1,0,0,1,0,1,1,Take linemate
8,2,2,3,3,2,1,1,0,0,0,1,0,1,1,Elevation
14,3,0,3,2,0,1,1,0,1,0,0,0,0,1,Take deraumere
14,1,0,3,0,2,0,1,0,1,0,1,0,0,1,Take deraumere
3,0,1,0,3,0,3,1,0,0,0,0,1,1,1,Take food
1,0,1,3,2,2,0,1,0,0,1,0,1,0,1,Take food
8,3,2,1,3,0,0,1,1,0,1,1,0,0,1,Take sibur
9,1,3,3,2,2,0,1,1,0,1,1,1,0,1,Take linemate
12,0,1,3,2,2,3,1,0,0,1,1,1,1,1,Take food
4,3,1,1,1,2,3,1,0,1,0,0,0,0,1,Take food
12,3,1,2,1,2,0,1,0,0,1,0,0,0,1,Take food
1,1,3,0,3,1,0,1,1,1,1,1,0,0,1,Take food
5,1,0,3,2,0,3,1,0,1,0,1,0,0,1,Take food
8,1,1,2,2,0,0,1,0,1,0,1,0,1,1,Take deraumere
8,2,0,2,1,3,0,1,0,1,0,1,1,0,1,Take deraumere
13,3,1,1,3,3,0,1,1,1,1,1,1,0,1,Take deraumere
11,0,0,0,2,3,2,1,1,0,1,1,1,1,1,Take linemate
13,2,1,3,3,3,2,1,1,0,0,1,1,0,1,Take food
2,1,0,2,3,2,3,1,1,1,0,0,1,1,1,Take food
9,1,1,2,3,3,0,1,0,0,1,1,1,0,1,Take food
14,2,3,1,0,3,0,1,1,1,0,1,1,1,1,Take mendiane
8,2,1,0,0,3,1,1,0,1,1,0,0,1,1,Take deraumere
14,2,0,0,0,0,3,1,0,0,0,0,1,1,1,Take phiras
6,1,0,3,0,1,3,1,1,0,0,0,0,0,1,Take linemate
12,0,1,2,3,2,2,1,1,0,1,0,1,0,1,Take linemate
2,2,1,2,2,3,3,1,1,1,0,0,0,0,1,Take food
14,3,0,2,3,3,3,1,1,0,0,0,1,1,1,Take food
6,3,1,2,1,1,0,1,1,1,1,0,0,1,1,Take deraumere
1,1,3,2,1,2,0,1,0,1,1,1,0,0,1,Take food
6,3,2,1,0,1,0,1,0,0,0,1,0,0,1,Take mendiane
11,1,3,1,1,0,2,1,0,0,0,1,0,0,1,Take mendiane
8,0,1,0,2,2,3,1,0,1,1,0,1,1,1,Take deraumere
9,0,3,3,2,1,2,1,1,1,0,0,0,1,1,Take linemate
7,3,0,2,1,3,3,1,0,0,1,1,0,0,1,Take mendiane
15,3,2,2,0,3,0,1,0,1,1,0,1,1,1,Take thystame
15,2,1,2,2,3,3,1,0,1,1,0,0,1,1,Take deraumere
5,1,3,1,1,2,3,1,1,0,0,0,0,1,1,Take food
12,2,3,1,0,0,0,1,1,1,0,1,1,1,1,Take mendiane
4,0,2,3,1,3,1,1,0,0,0,1,1,0,1,Take food
12,3,2,2,3,0,0,1,1,0,1,1,1,0,1,Take phiras
4,2,2,1,0,2,2,1,1,0,0,0,0,1,1,Take food
4,0,0,2,1,3,1,1,0,0,1,1,1,1,1,Take food
6,2,2,3,2,1,1,1,1,1,1,1,0,1,1,Take food
9,3,0,3,2,2,1,1,0,0,0,1,1,1,1,Take food
8,0,1,0,1,1,0,1,0,1,1,1,1,1,1,Take thystame
5,2,1,1,0,0,3,1,1,0,0,1,1,0,1,Take food
9,0,3,2,2,3,2,1,0,1,1,1,0,1,1,Take food
4,0,3,0,1,0,1,1,1,0,1,0,1,1,1,Take food
